Alpha,T1_Re0.020_M0.00_N9.0, , Alpha,T1_Re0.045_M0.00_N9.0, , Alpha,T1_Re0.075_M0.00_N9.0, , Alpha,T1_Re0.100_M0.00_N9.0, , Alpha,T1_Re0.250_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.750_M0.00_N9.0, , Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re1.500_M0.00_N9.0, , 
          -54,      0.487259, ,           -66,     0.4406105, ,           -61,     0.4698105, ,           -67,     0.4312056, ,           -60,     0.4719892, ,           -32,     0.3060805, ,           -33,     0.3173623, ,           -31,      0.294773, ,         -31.5,     0.2997562, , 
        -53.5,     0.4866532, ,         -65.5,     0.4444597, ,         -60.5,     0.4718851, ,         -66.5,     0.4353603, ,           -47,     0.4747223, ,         -31.5,     0.3010596, ,         -32.5,     0.3112309, ,         -30.5,     0.2887012, ,           -31,      0.294077, , 
          -53,     0.4859078, ,           -65,     0.4481371, ,           -60,     0.4737514, ,           -66,       0.43934, ,         -46.5,     0.4722448, ,           -31,     0.2957039, ,         -27.5,     0.3264408, ,         -27.5,     0.3270545, ,         -30.5,     0.2870811, , 
        -49.5,     0.4746296, ,         -64.5,     0.4516486, ,         -59.5,     0.4754089, ,         -65.5,     0.4431716, ,           -46,     0.4694561, ,         -30.5,     0.2901396, ,           -27,     0.3210871, ,           -27,     0.3203414, ,           -30,     0.2808994, , 
          -49,     0.4724825, ,         -57.5,     0.4813799, ,           -57,     0.4805094, ,           -65,     0.4468191, ,           -38,     0.3729509, ,           -30,     0.2841853, ,         -26.5,     0.3153507, ,         -25.5,     0.2341864, ,         -29.5,     0.2763076, , 
          -47,     0.4613487, ,           -57,     0.4820869, ,         -56.5,     0.4810149, ,         -64.5,     0.4502909, ,         -37.5,     0.3676161, ,         -29.5,     0.2778959, ,           -26,     0.3079913, ,           -25,     0.2286031, ,           -29,     0.2714591, , 
        -46.5,     0.4580955, ,         -56.5,     0.4825766, ,           -56,     0.4812909, ,           -64,     0.4531065, ,           -32,     0.3714795, ,           -29,     0.2729259, ,         -25.5,     0.3014202, ,         -24.5,     0.2219346, ,         -28.5,     0.2663079, , 
          -46,     0.4548358, ,           -56,     0.4828478, ,         -55.5,      0.481348, ,         -63.5,     0.4563202, ,         -31.5,     0.3671876, ,         -28.5,     0.2678166, ,           -25,     0.2964137, ,           -24,     0.2169662, ,           -28,     0.2606934, , 
        -45.5,     0.4515702, ,         -54.5,      0.482339, ,         -51.5,     0.4746277, ,           -63,     0.4593754, ,           -31,     0.3625857, ,           -28,      0.262464, ,         -24.5,     0.2910489, ,         -23.5,     0.2125157, ,         -27.5,     0.2535646, , 
          -45,     0.4484607, ,           -54,     0.4818658, ,           -51,      0.472895, ,         -62.5,     0.4622009, ,         -30.5,     0.3575039, ,         -27.5,     0.2568345, ,           -24,     0.2852649, ,           -23,     0.2077874, ,           -27,     0.2479747, , 
          -44,     0.4409582, ,         -53.5,     0.4811953, ,         -47.5,     0.4560612, ,           -62,     0.4648188, ,           -29,     0.2746658, ,           -26,     0.2404751, ,         -23.5,     0.2788124, ,         -22.5,     0.2024221, ,         -26.5,     0.2434384, , 
        -43.5,     0.4363325, ,           -53,     0.4803149, ,           -46,     0.4679914, ,         -61.5,     0.4672392, ,           -28,     0.2633229, ,         -25.5,     0.2353229, ,           -23,     0.2704708, ,         -21.5,     0.2521356, ,           -26,     0.2386511, , 
          -43,     0.4321041, ,         -52.5,     0.4792248, ,         -45.5,     0.4654403, ,           -61,     0.4694565, ,         -27.5,     0.2581514, ,           -25,     0.2298749, ,         -22.5,     0.2652503, ,           -21,     0.1870932, ,         -25.5,     0.2335717, , 
        -42.5,     0.4279641, ,           -52,     0.4779293, ,           -45,     0.4627811, ,         -59.5,     0.4745806, ,           -27,     0.2528256, ,           -23,      0.209097, ,           -22,     0.2598011, ,         -20.5,     0.1825125, ,           -25,     0.2270365, , 
          -42,     0.4240064, ,         -50.5,      0.472799, ,         -44.5,     0.4600349, ,           -59,     0.4761502, ,         -26.5,     0.2473409, ,         -22.5,     0.2035035, ,         -21.5,     0.2538863, ,           -20,      0.175958, ,         -24.5,     0.2206488, , 
          -39,     0.4300747, ,           -50,     0.4707982, ,           -44,     0.4571707, ,         -58.5,     0.4774719, ,         -25.5,     0.2364338, ,           -22,     0.1980044, ,           -21,      0.247028, ,         -19.5,     0.1712734, ,           -24,     0.2163028, , 
        -38.5,     0.4259862, ,         -49.5,     0.4686261, ,         -43.5,     0.4542175, ,           -58,     0.4785516, ,           -25,     0.2313694, ,         -21.5,     0.1935868, ,           -20,     0.2336376, ,           -19,     0.1673072, ,         -23.5,     0.2118154, , 
          -38,     0.4227814, ,           -49,     0.4662579, ,           -42,     0.4449089, ,         -57.5,     0.4794058, ,         -24.5,     0.2261467, ,           -21,     0.1889012, ,         -19.5,     0.2278744, ,         -18.5,     0.1630455, ,           -23,     0.2070623, , 
        -37.5,      0.420926, ,         -48.5,     0.4637078, ,         -41.5,     0.4418159, ,           -57,     0.4800368, ,           -24,     0.2207826, ,         -20.5,     0.1836498, ,           -19,     0.2215135, ,         -17.5,     0.1523355, ,         -22.5,     0.2009434, , 
        -36.5,     0.3703635, ,           -45,     0.4624559, ,           -41,     0.4386452, ,           -54,     0.4796297, ,         -23.5,     0.2153849, ,           -20,     0.1781586, ,           -18,     0.1591082, ,           -17,     0.1487527, ,           -22,     0.1945643, , 
          -36,     0.3661195, ,         -44.5,     0.4596755, ,         -40.5,      0.435355, ,         -53.5,     0.4788859, ,           -23,      0.210536, ,         -19.5,     0.1738869, ,         -17.5,     0.1529006, ,         -16.5,      0.144889, ,         -21.5,     0.1904603, , 
          -35,     0.4012518, ,           -44,     0.4570133, ,           -40,     0.4319709, ,           -53,     0.4779205, ,         -22.5,      0.205551, ,           -19,      0.169507, ,           -17,     0.1492901, ,           -16,     0.1380869, ,           -21,     0.1861909, , 
