Alpha,T1_Re0.020_M0.00_N9.0, , Alpha,T1_Re0.045_M0.00_N9.0, , Alpha,T1_Re0.075_M0.00_N9.0, , Alpha,T1_Re0.100_M0.00_N9.0, , Alpha,T1_Re0.250_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.750_M0.00_N9.0, , Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re1.500_M0.00_N9.0, , 
          -54,       -0.5733, ,           -66,    -0.4290095, ,           -61,    -0.4988692, ,           -67,    -0.4154585, ,           -60,    -0.5134131, ,           -32,    -0.5400039, ,           -33,    -0.5534591, ,           -31,    -0.5266605, ,         -31.5,    -0.5345592, , 
        -53.5,     -0.577559, ,         -65.5,     -0.436264, ,         -60.5,    -0.5052374, ,         -66.5,    -0.4228543, ,           -47,     -1.196628, ,         -31.5,    -0.5329575, ,         -32.5,    -0.5470212, ,         -30.5,    -0.5191793, ,           -31,    -0.5272895, , 
          -53,    -0.5816519, ,           -65,    -0.4434506, ,           -60,     -0.511483, ,           -66,    -0.4301907, ,         -46.5,     -1.194488, ,           -31,    -0.5256534, ,         -27.5,     -0.822474, ,         -27.5,    -0.8229572, ,         -30.5,    -0.5202534, , 
        -49.5,    -0.6046435, ,         -64.5,    -0.4505626, ,         -59.5,    -0.5176001, ,         -65.5,    -0.4374633, ,           -46,     -1.191805, ,         -30.5,    -0.5181421, ,           -27,     -0.806404, ,           -27,    -0.8062829, ,           -30,    -0.5131372, , 
          -49,    -0.6071322, ,         -57.5,     -0.539847, ,           -57,     -0.546231, ,           -65,    -0.4446661, ,           -38,    -0.6004185, ,           -30,    -0.5104411, ,         -26.5,    -0.7900382, ,         -25.5,    -0.4312211, ,         -29.5,    -0.5047955, , 
          -47,    -0.6146927, ,           -57,    -0.5452662, ,         -56.5,    -0.5515088, ,         -64.5,    -0.4517983, ,         -37.5,    -0.5967411, ,         -29.5,    -0.5032516, ,           -26,    -0.7728497, ,           -25,    -0.4213385, ,           -29,    -0.4961812, , 
        -46.5,    -0.6158976, ,         -56.5,    -0.5505285, ,           -56,    -0.5566235, ,           -64,    -0.4588447, ,           -32,    -0.9553653, ,           -29,     -0.494599, ,         -25.5,    -0.7567128, ,         -24.5,    -0.4135243, ,         -28.5,    -0.4874227, , 
          -46,      -0.61693, ,           -56,    -0.5556258, ,         -55.5,    -0.5615668, ,         -63.5,    -0.4658722, ,         -31.5,    -0.9413979, ,         -28.5,    -0.4859249, ,           -25,    -0.7402716, ,           -24,    -0.4025266, ,           -28,    -0.4786553, , 
        -45.5,    -0.6177939, ,         -54.5,    -0.5699899, ,         -51.5,    -0.5947159, ,           -63,     -0.472768, ,           -31,    -0.9269298, ,           -28,    -0.4771055, ,         -24.5,    -0.7233436, ,         -23.5,    -0.3911161, ,         -27.5,    -0.4708895, , 
          -45,    -0.6185574, ,           -54,     -0.574431, ,           -51,    -0.5979494, ,         -62.5,    -0.4795651, ,         -30.5,    -0.9116082, ,         -27.5,    -0.4681915, ,           -24,    -0.7061958, ,           -23,    -0.3799094, ,           -27,    -0.4621127, , 
          -44,    -0.6191739, ,         -53.5,    -0.5786745, ,         -47.5,    -0.6146601, ,           -62,    -0.4862624, ,           -29,    -0.4934647, ,           -26,    -0.4403887, ,         -23.5,    -0.6888937, ,         -22.5,     -0.369404, ,         -26.5,    -0.4520732, , 
        -43.5,    -0.6186451, ,           -53,     -0.582726, ,           -46,     -1.187657, ,         -61.5,    -0.4928535, ,           -28,    -0.4768234, ,         -25.5,    -0.4304169, ,           -23,    -0.6726997, ,         -21.5,    -0.6213534, ,           -26,    -0.4419275, , 
          -43,    -0.6180713, ,         -52.5,    -0.5865803, ,         -45.5,      -1.18505, ,           -61,    -0.4993303, ,         -27.5,    -0.4676748, ,           -25,    -0.4205225, ,         -22.5,    -0.6552643, ,           -21,     -0.337561, ,         -25.5,    -0.4318026, , 
        -42.5,    -0.6173633, ,           -52,    -0.5902297, ,           -45,     -1.181851, ,         -59.5,     -0.518113, ,           -27,    -0.4584599, ,           -23,    -0.3791864, ,           -22,     -0.637761, ,         -20.5,    -0.3259547, ,           -25,     -0.422849, , 
          -42,    -0.6165716, ,         -50.5,    -0.6000559, ,         -44.5,     -1.178137, ,           -59,    -0.5241341, ,         -26.5,    -0.4492128, ,         -22.5,    -0.3694708, ,         -21.5,    -0.6202818, ,           -20,    -0.3203176, ,         -24.5,    -0.4146953, , 
          -39,     -1.106969, ,           -50,     -0.602901, ,           -44,     -1.173927, ,         -58.5,    -0.5300067, ,         -25.5,    -0.4304066, ,           -22,    -0.3601244, ,           -21,    -0.6031235, ,         -19.5,    -0.3081647, ,           -24,    -0.4031278, , 
        -38.5,     -1.098357, ,         -49.5,    -0.6055126, ,         -43.5,     -1.169194, ,           -58,    -0.5357358, ,           -25,    -0.4201775, ,         -21.5,     -0.347659, ,           -20,    -0.5702201, ,           -19,    -0.2954205, ,         -23.5,    -0.3917619, , 
          -38,     -1.089378, ,           -49,       -0.6079, ,           -42,     -1.152758, ,         -57.5,     -0.541316, ,         -24.5,    -0.4100764, ,           -21,    -0.3362725, ,         -19.5,    -0.5526548, ,         -18.5,    -0.2838719, ,           -23,    -0.3805532, , 
        -37.5,     -1.080074, ,         -48.5,    -0.6100582, ,         -41.5,     -1.146803, ,           -57,    -0.5467387, ,           -24,    -0.4008228, ,         -20.5,    -0.3263006, ,           -19,    -0.5356437, ,         -17.5,    -0.2690304, ,         -22.5,    -0.3711545, , 
        -36.5,    -0.5884657, ,           -45,     -1.180077, ,           -41,     -1.140217, ,           -54,    -0.5759809, ,         -23.5,     -0.390794, ,           -20,    -0.3183271, ,           -18,    -0.2733459, ,           -17,    -0.2573072, ,           -22,    -0.3633898, , 
          -36,    -0.5850151, ,         -44.5,     -1.176285, ,         -40.5,      -1.13312, ,         -53.5,    -0.5802256, ,           -23,    -0.3793013, ,         -19.5,     -0.305039, ,         -17.5,    -0.2709692, ,         -16.5,    -0.2481932, ,         -21.5,    -0.3506167, , 
          -35,     -1.027851, ,           -44,     -1.171948, ,           -40,     -1.125508, ,           -53,    -0.5842706, ,         -22.5,    -0.3685513, ,           -19,    -0.2934772, ,           -17,    -0.2574819, ,           -16,    -0.2548074, ,           -21,    -0.3384279, , 
