Alpha,Re0.010_M0.00_N9.0, , Alpha,Re0.050_M0.00_N9.0, , Alpha,Re0.100_M0.00_N9.0, , Alpha,Re0.250_M0.00_N9.0, , Alpha,Re0.500_M0.00_N9.0, , Alpha,Re1.000_M0.00_N9.0, , Alpha,Re1.250_M0.00_N9.0, , Alpha,Re1.500_M0.00_N9.0, , Alpha,Re2.500_M0.00_N9.0, , Alpha,Re5.000_M0.00_N9.0, , 
-15,0.175564, ,-15,0.1569567, ,-15,0.1540554, ,-14,0.1357447, ,-15,0.1755801, ,-12,0.03515203, ,-15,0.1421176, ,-15,0.03869144, ,-15,0.02476531, ,-15,0.01840153, , 
-14,0.1625659, ,-14,0.1458426, ,-14,0.1402193, ,-13,0.1260985, ,-14,0.1631267, ,-11,0.02641068, ,-14,0.03920121, ,-14,0.03064881, ,-14,0.02169117, ,-14,0.01609237, , 
-13,0.1497383, ,-13,0.1408186, ,-13,0.1308233, ,-12,0.1343007, ,-13,0.1440548, ,-10,0.02122809, ,-13,0.0300708, ,-13,0.02576651, ,-13,0.01913286, ,-13,0.01418285, , 
-12,0.1370691, ,-12,0.1284927, ,-12,0.1248668, ,-9,0.0594308, ,-12,0.1309044, ,-9,0.0183795, ,-12,0.02430533, ,-12,0.02226161, ,-12,0.01617795, ,-12,0.01278734, , 
-11,0.1245566, ,-11,0.1190347, ,-11,0.1258275, ,-8,0.05828175, ,-9,0.06458001, ,-8,0.01557421, ,-11,0.02145762, ,-11,0.01853279, ,-11,0.01461688, ,-11,0.01162864, , 
-10,0.1122206, ,-10,0.1244642, ,-10,0.1095321, ,-7,0.04643525, ,-7,0.02462631, ,-7,0.01372624, ,-10,0.01856989, ,-10,0.01649447, ,-10,0.01327393, ,-10,0.01031443, , 
-9,0.1117106, ,-9,0.1119545, ,-9,0.09153537, ,-6,0.03745079, ,-6,0.01748232, ,-6,0.01169115, ,-9,0.0157578, ,-9,0.01485217, ,-9,0.01148754, ,-9,0.009267001, , 
-8,0.1084773, ,-8,0.09813543, ,-8,0.07464407, ,-4,0.01791397, ,-5,0.01434736, ,-5,0.01025532, ,-8,0.01400909, ,-8,0.01264941, ,-8,0.01031058, ,-8,0.008538697, , 
-7,0.09578236, ,-7,0.08543888, ,-6,0.051879, ,-3,0.01420075, ,-4,0.01208907, ,-4,0.009266569, ,-7,0.01206738, ,-7,0.01099668, ,-7,0.009191455, ,-7,0.007818678, , 
-6,0.08225723, ,-6,0.03360781, ,-5,0.03399884, ,-2,0.01175732, ,-3,0.01050334, ,-3,0.008693327, ,-6,0.01046395, ,-6,0.009873865, ,-6,0.008395877, ,-6,0.007474792, , 
-4,0.04409463, ,-5,0.03793041, ,-4,0.02630997, ,-1,0.008343658, ,-1,0.006933109, ,-1,0.007057208, ,-5,0.009387438, ,-5,0.009004436, ,-5,0.007968552, ,-5,0.007210073, , 
-3,0.04151644, ,-4,0.03058021, ,-3,0.02201221, ,0,0.009094657, ,0,0.006785784, ,0,0.006164069, ,-4,0.008722395, ,-4,0.008348845, ,-4,0.007639292, ,-4,0.007000265, , 
-2,0.04018549, ,-3,0.02514342, ,-2,0.0188368, ,1,0.01011905, ,1,0.007551685, ,1,0.00631745, ,-3,0.008299078, ,-3,0.008059762, ,-3,0.0074875, ,-3,0.006902423, , 
-1,0.03992896, ,-2,0.01955244, ,-1,0.01636113, ,2,0.01095168, ,2,0.00858407, ,2,0.006879328, ,-2,0.008108949, ,-2,0.007906274, ,-2,0.007419117, ,-2,0.006882923, , 
0,0.04080977, ,-1,0.02122283, ,0,0.01453618, ,3,0.01175982, ,3,0.009505406, ,3,0.007539427, ,-1,0.007732254, ,-1,0.007763154, ,-1,0.007418404, ,-1,0.006914961, , 
1,0.04302519, ,0,0.02318206, ,1,0.01406703, ,4,0.01272306, ,4,0.0102034, ,4,0.008187667, ,0,0.006115586, ,0,0.006106488, ,0,0.006144601, ,0,0.006309447, , 
2,0.04688548, ,1,0.0217931, ,2,0.01483265, ,5,0.01385501, ,5,0.01082473, ,5,0.008752704, ,1,0.006147843, ,1,0.006035698, ,1,0.005862516, ,1,0.005708944, , 
3,0.0524783, ,2,0.0216571, ,3,0.01636079, ,6,0.01500385, ,6,0.01167141, ,6,0.009324461, ,2,0.0065429, ,2,0.006304442, ,2,0.005808587, ,2,0.005481411, , 
