Alpha,Re0.010_M0.00_N9.0, , Alpha,Re0.050_M0.00_N9.0, , Alpha,Re0.100_M0.00_N9.0, , Alpha,Re0.250_M0.00_N9.0, , Alpha,Re0.500_M0.00_N9.0, , Alpha,Re1.000_M0.00_N9.0, , Alpha,Re1.250_M0.00_N9.0, , Alpha,Re1.500_M0.00_N9.0, , Alpha,Re2.500_M0.00_N9.0, , Alpha,Re5.000_M0.00_N9.0, , 
-15,-0.4273791, ,-15,-0.3775758, ,-15,-0.3901238, ,-14,-0.3590135, ,-15,-0.6011645, ,-12,-1.010062, ,-15,-0.380047, ,-15,-1.213513, ,-15,-1.38035, ,-15,-1.455931, , 
-14,-0.3858058, ,-14,-0.3557744, ,-14,-0.3540915, ,-13,-0.3822899, ,-14,-0.5718098, ,-11,-0.9862087, ,-14,-1.11851, ,-14,-1.212698, ,-14,-1.317751, ,-14,-1.373562, , 
-13,-0.3446151, ,-13,-0.3632314, ,-13,-0.3486474, ,-12,-0.5348258, ,-13,-0.565695, ,-10,-0.925819, ,-13,-1.135019, ,-13,-1.178331, ,-13,-1.239248, ,-13,-1.284258, , 
-12,-0.3040491, ,-12,-0.3360631, ,-12,-0.3895193, ,-9,-0.4525877, ,-12,-0.542918, ,-9,-0.8534289, ,-12,-1.09496, ,-12,-1.109751, ,-12,-1.160607, ,-12,-1.192119, , 
-11,-0.2643691, ,-11,-0.3272447, ,-11,-0.5473375, ,-8,-0.6030461, ,-9,-0.6150315, ,-8,-0.7843143, ,-11,-1.01824, ,-11,-1.038632, ,-11,-1.072552, ,-11,-1.098269, , 
-10,-0.2257097, ,-10,-0.4966979, ,-10,-0.5246336, ,-7,-0.5966554, ,-7,-0.6691775, ,-7,-0.6474851, ,-10,-0.941791, ,-10,-0.9578399, ,-10,-0.990673, ,-10,-0.976224, , 
-9,-0.2733345, ,-9,-0.4708857, ,-9,-0.5361892, ,-6,-0.5687692, ,-6,-0.5655656, ,-6,-0.5108315, ,-9,-0.8718051, ,-9,-0.8807626, ,-9,-0.8701187, ,-9,-0.8579603, , 
-8,-0.3537035, ,-8,-0.4146188, ,-8,-0.6025252, ,-4,-0.3517212, ,-5,-0.4187897, ,-5,-0.3915455, ,-8,-0.7694674, ,-8,-0.7609296, ,-8,-0.7411328, ,-8,-0.753152, , 
-7,-0.360013, ,-7,-0.379263, ,-6,-0.5532012, ,-3,-0.1818284, ,-4,-0.2749648, ,-4,-0.2902924, ,-7,-0.636038, ,-7,-0.6283519, ,-7,-0.6274181, ,-7,-0.6475866, , 
-6,-0.3505742, ,-6,-0.5174785, ,-5,-0.4997688, ,-2,-0.05638156, ,-3,-0.1688737, ,-3,-0.1851699, ,-6,-0.5065013, ,-6,-0.5075071, ,-6,-0.5238802, ,-6,-0.5395992, , 
-4,-0.1117029, ,-5,-0.497932, ,-4,-0.4206276, ,-1,0.01604279, ,-1,0.01880375, ,-1,0.02253073, ,-5,-0.399421, ,-5,-0.4049992, ,-5,-0.4183752, ,-5,-0.4285869, , 
-3,-0.07335656, ,-4,-0.4128446, ,-3,-0.3327406, ,0,0.1311633, ,0,0.1149654, ,0,0.121794, ,-4,-0.2962477, ,-4,-0.3003773, ,-4,-0.309037, ,-4,-0.3165719, , 
-2,-0.04182098, ,-3,-0.3121561, ,-2,-0.2040718, ,1,0.2997453, ,1,0.219633, ,1,0.2251294, ,-3,-0.1893239, ,-3,-0.1919809, ,-3,-0.1981189, ,-3,-0.2038884, , 
-1,-0.01450105, ,-2,-0.242086, ,-1,0.1273368, ,2,0.4512335, ,2,0.3576027, ,2,0.3288446, ,-2,-0.08069439, ,-2,-0.08250874, ,-2,-0.08661544, ,-2,-0.0908539, , 
0,0.01120577, ,-1,-0.04082827, ,0,0.2867408, ,3,0.5422744, ,3,0.507629, ,3,0.4461944, ,-1,0.02695918, ,-1,0.02715618, ,-1,0.02495658, ,-1,0.02230505, , 
1,0.03976428, ,0,0.06246932, ,1,0.3677125, ,4,0.6317457, ,4,0.6473624, ,4,0.584748, ,0,0.1237006, ,0,0.1250925, ,0,0.1279022, ,0,0.1317684, , 
2,0.06995553, ,1,0.3654904, ,2,0.4513991, ,5,0.7214996, ,5,0.7383405, ,5,0.7261271, ,1,0.2283869, ,1,0.2308593, ,1,0.2360928, ,1,0.2412888, , 
3,0.1005074, ,2,0.4605442, ,3,0.5379781, ,6,0.8128046, ,6,0.8278506, ,6,0.8511874, ,2,0.3329222, ,2,0.336485, ,2,0.3447303, ,2,0.3531683, , 
4,0.1339162, ,3,0.5453098, ,4,0.628446, ,7,0.9049633, ,7,0.9188021, ,7,0.9430297, ,3,0.4425872, ,3,0.4447656, ,3,0.4557513, ,3,0.4659455, , 
5,0.1710955, ,4,0.6316038, ,5,0.7205265, ,8,0.9981032, ,8,1.011555, ,8,1.03564, ,4,0.5694692, ,4,0.5614889, ,4,0.565055, ,4,0.5790851, , 
6,0.2108035, ,5,0.7164794, ,6,0.812806, ,9,1.090483, ,9,1.10638, ,9,1.130989, ,5,0.7081256, ,5,0.6962897, ,5,0.6768437, ,5,0.6907677, , 
7,0.2517096, ,6,0.7903832, ,7,0.9031956, ,10,1.180415, ,10,1.199752, ,10,1.226712, ,6,0.8466968, ,6,0.833078, ,6,0.8045075, ,6,0.7997602, , 
8,0.2927041, ,7,0.8465481, ,8,0.9929203, ,11,1.262094, ,11,1.292664, ,11,1.321037, ,7,0.9502574, ,7,0.9561057, ,7,0.9364824, ,7,0.912432, , 
9,0.3333733, ,8,0.8860038, ,9,1.072611, ,12,1.333927, ,12,1.376731, ,12,1.408245, ,8,1.04319, ,8,1.048225, ,8,1.062641, ,8,1.037093, , 
10,0.373528, ,10,0.62567, ,10,1.140088, ,13,1.382543, ,13,1.443741, ,13,1.481507, ,9,1.137197, ,9,1.142427, ,9,1.154572, ,10,1.258787, , 
11,0.4132904, ,11,0.6557097, ,11,1.209176, ,14,1.404492, ,14,1.47617, ,14,1.531251, ,10,1.233416, ,10,1.237419, ,10,1.247842, ,11,1.349698, , 
12,0.4526743, ,12,0.6685751, ,12,0.9668997, ,15,1.391797, ,15,1.482533, ,15,1.562175, ,11,1.327652, ,11,1.332123, ,11,1.341326, ,12,1.442387, , 
13,0.4917893, ,13,0.6833519, ,13,1.301674, , , , , , , , , , ,12,1.414544, ,12,1.419096, ,12,1.42967, ,13,1.532499, , 
14,0.5306648, ,14,0.7317821, , , , , , , , , , , , , ,13,1.489948, ,13,1.496337, ,13,1.513104, ,14,1.618228, , 
15,0.5692473, ,15,0.7355132, , , , , , , , , , , , , ,14,1.547122, ,14,1.55896, ,14,1.588313, ,15,1.694026, , 
, , , , , , , , , , , , , , , , , ,15,1.583575, ,15,1.600006, ,15,1.644235, , , , , 
